2024-05-28 21:14:50 [LockApp, CPU Usage: 0.4 s., Memory Usage: 0.0 MB]
2024-05-28 21:14:50 [WINWORD, CPU Usage: 187.1 s., Memory Usage: 121.0 MB]
2024-05-28 21:14:50 [ai, CPU Usage: 0.3 s., Memory Usage: 0.0 MB]
2024-05-28 21:14:50 [devenv, CPU Usage: 154.2 s., Memory Usage: 278.0 MB]
2024-05-28 21:14:50 [PerfWatson2, CPU Usage: 3.3 s., Memory Usage: 20.0 MB]
2024-05-28 21:14:50 [Microsoft.ServiceHub.Controller, CPU Usage: 2.5 s., Memory Usage: 11.0 MB]
2024-05-28 21:14:50 [ServiceHub.VSDetouredHost, CPU Usage: 1.1 s., Memory Usage: 13.0 MB]
2024-05-28 21:14:50 [ServiceHub.IdentityHost, CPU Usage: 1.9 s., Memory Usage: 5.0 MB]
2024-05-28 21:14:50 [ServiceHub.SettingsHost, CPU Usage: 1.9 s., Memory Usage: 18.0 MB]
2024-05-28 21:14:50 [ServiceHub.ThreadedWaitDialog, CPU Usage: 1.1 s., Memory Usage: 13.0 MB]
2024-05-28 21:14:50 [ServiceHub.IndexingService, CPU Usage: 1.6 s., Memory Usage: 7.0 MB]
2024-05-28 21:14:50 [ServiceHub.RoslynCodeAnalysisService, CPU Usage: 21.5 s., Memory Usage: 31.0 MB]
2024-05-28 21:14:50 [ServiceHub.Host.AnyCPU, CPU Usage: 3.9 s., Memory Usage: 17.0 MB]
2024-05-28 21:14:50 [ServiceHub.TestWindowStoreHost, CPU Usage: 0.8 s., Memory Usage: 13.0 MB]
2024-05-28 21:14:50 [ServiceHub.IntellicodeModelService, CPU Usage: 1.0 s., Memory Usage: 2.0 MB]
2024-05-28 21:14:50 [ServiceHub.Host.dotnet.x64, CPU Usage: 3.2 s., Memory Usage: 6.0 MB]
2024-05-28 21:14:50 [ShellExperienceHost, CPU Usage: 0.5 s., Memory Usage: 0.0 MB]
2024-05-28 21:14:50 [ApplicationFrameHost, CPU Usage: 0.1 s., Memory Usage: 0.0 MB]
2024-05-28 21:14:50 [RtkUWP, CPU Usage: 0.2 s., Memory Usage: 0.0 MB]
2024-05-28 21:14:50 [audiodg, CPU Usage: 19.7 s., Memory Usage: 7.0 MB]
