2024-01-15 04:29:14 [ServiceHub.IdentityHost, CPU Usage: 4,5 s., Memory Usage: 80,0 MB]
2024-01-15 04:29:14 [ServiceHub.SettingsHost, CPU Usage: 5,6 s., Memory Usage: 141,0 MB]
2024-01-15 04:29:14 [ServiceHub.Host.dotnet.x64, CPU Usage: 14,0 s., Memory Usage: 96,0 MB]
2024-01-15 04:29:14 [ServiceHub.Host.netfx.x86, CPU Usage: 3,2 s., Memory Usage: 71,0 MB]
2024-01-15 04:29:14 [ServiceHub.DataWarehouseHost, CPU Usage: 21,7 s., Memory Usage: 132,0 MB]
2024-01-15 04:29:14 [WebViewHost, CPU Usage: 55,9 s., Memory Usage: 56,0 MB]
2024-01-15 04:29:14 [ace_engine, CPU Usage: 13,4 s., Memory Usage: 84,0 MB]
2024-01-15 04:29:14 [ace_update, CPU Usage: 1,8 s., Memory Usage: 39,0 MB]
2024-01-15 04:29:14 [AdobeIPCBroker, CPU Usage: 0,1 s., Memory Usage: 9,0 MB]
2024-01-15 04:29:14 [CCLibrary, CPU Usage: 0,0 s., Memory Usage: 3,0 MB]
2024-01-15 04:29:14 [node, CPU Usage: 10,1 s., Memory Usage: 114,0 MB]
2024-01-15 04:29:14 [conhost, CPU Usage: 0,1 s., Memory Usage: 50,0 MB]
2024-01-15 04:29:14 [CCXProcess, CPU Usage: 0,0 s., Memory Usage: 2,0 MB]
2024-01-15 04:29:14 [WINWORD, CPU Usage: 63,9 s., Memory Usage: 297,0 MB]
2024-01-15 04:29:14 [notepad++, CPU Usage: 2,2 s., Memory Usage: 33,0 MB]
2024-01-15 04:29:14 [ChatGPT, CPU Usage: 2,5 s., Memory Usage: 29,0 MB]
2024-01-15 04:29:14 [ColorMania, CPU Usage: 0,6 s., Memory Usage: 26,0 MB]
2024-01-15 04:29:14 [ServiceHub.Host.AnyCPU, CPU Usage: 6,8 s., Memory Usage: 121,0 MB]
2024-01-15 04:29:14 [ServiceHub.TestWindowStoreHost, CPU Usage: 1,5 s., Memory Usage: 80,0 MB]
2024-01-15 04:29:14 [audiodg, CPU Usage: 101,3 s., Memory Usage: 31,0 MB]
